HGNC ID	Approved symbol	Approved name	Ensembl gene ID	UniProt accession
HGNC:21351	C6orf141	chromosome 6 open reading frame 141	ENSG00000197261	Q5SZD1
HGNC:21403	C6orf163	chromosome 6 open reading frame 163	ENSG00000203872	Q5TEZ5
HGNC:17971	C6orf203	chromosome 6 open reading frame 203	ENSG00000130349	Q9P0P8
HGNC:33769	C6orf222	chromosome 6 open reading frame 222	ENSG00000189325	P0C671
HGNC:28692	C6orf223	chromosome 6 open reading frame 223	ENSG00000181577	Q8N319
HGNC:34431	C6orf226	chromosome 6 open reading frame 226	ENSG00000221821	Q5I0X4
HGNC:1346	C7	complement C7	ENSG00000112936	P10643
HGNC:21703	C7orf25	chromosome 7 open reading frame 25	ENSG00000136197	Q9BPX7
HGNC:21702	C7orf26	chromosome 7 open reading frame 26	ENSG00000146576	Q96N11
HGNC:22421	C7orf50	chromosome 7 open reading frame 50	ENSG00000146540	Q9BRJ6
HGNC:22247	C7orf57	chromosome 7 open reading frame 57	ENSG00000164746	Q8NEG2
HGNC:22135	C7orf61	chromosome 7 open reading frame 61	ENSG00000185955	Q8IZ16
HGNC:1353	C8B	complement C8 beta chain	ENSG00000021852	P07358
HGNC:1354	C8G	complement C8 gamma chain	ENSG00000176919	P07360
HGNC:26104	C8orf33	chromosome 8 open reading frame 33	ENSG00000182307	Q9H7E9
HGNC:30905	C8orf34	chromosome 8 open reading frame 34	ENSG00000165084	Q49A92
HGNC:27232	C8orf37	chromosome 8 open reading frame 37	ENSG00000156172	Q96NL8
HGNC:25646	C8orf44	chromosome 8 open reading frame 44	ENSG00000213865	Q96CB5
HGNC:48354	C8orf44-SGK3	C8orf44-SGK3 readthrough	ENSG00000270024	
HGNC:26345	C8orf48	chromosome 8 open reading frame 48	ENSG00000164743	Q96LL4
HGNC:32233	C8orf58	chromosome 8 open reading frame 58	ENSG00000241852	Q8NAV2
HGNC:32296	C8orf74	chromosome 8 open reading frame 74	ENSG00000171060	Q6P047
HGNC:25924	C8orf76	chromosome 8 open reading frame 76	ENSG00000189376	Q96K31
HGNC:33826	C8orf82	chromosome 8 open reading frame 82	ENSG00000213563	Q6P1X6
HGNC:33774	C8orf86	chromosome 8 open reading frame 86	ENSG00000196166	Q6ZUL3
HGNC:1358	C9	complement C9	ENSG00000113600	P02748
HGNC:17823	C9orf16	chromosome 9 open reading frame 16	ENSG00000171159	Q9BUW7
HGNC:19919	C9orf24	chromosome 9 open reading frame 24	ENSG00000164972	Q8NCR6
HGNC:23433	C9orf40	chromosome 9 open reading frame 40	ENSG00000135045	Q8IXQ3
HGNC:23669	C9orf47	chromosome 9 open reading frame 47	ENSG00000186354	Q6ZRZ4
HGNC:23677	C9orf50	chromosome 9 open reading frame 50	ENSG00000179058	Q5SZB4
HGNC:28144	C9orf64	chromosome 9 open reading frame 64	ENSG00000165118	Q5T6V5
HGNC:26436	C9orf66	chromosome 9 open reading frame 66	ENSG00000183784	Q5T8R8
HGNC:28337	C9orf72	C9orf72-SMCR8 complex subunit	ENSG00000147894	Q96LT7
HGNC:24932	C9orf78	chromosome 9 open reading frame 78	ENSG00000136819	Q9NZ63
HGNC:28435	C9orf116	chromosome 9 open reading frame 116	ENSG00000160345	Q5BN46
HGNC:31422	C9orf135	chromosome 9 open reading frame 135	ENSG00000204711	Q5VTT2
HGNC:31455	C9orf152	chromosome 9 open reading frame 152	ENSG00000188959	Q5JTZ5
HGNC:27421	C10orf53	chromosome 10 open reading frame 53	ENSG00000178645	Q8N6V4
HGNC:31008	C10orf55	chromosome 10 open reading frame 55	ENSG00000222047	Q5SWW7
HGNC:23294	C10orf62	chromosome 10 open reading frame 62	ENSG00000203942	Q5T681
HGNC:28716	C10orf67	chromosome 10 open reading frame 67	ENSG00000179133	Q8IYJ2
HGNC:26973	C10orf71	chromosome 10 open reading frame 71	ENSG00000177354	Q711Q0
HGNC:25822	C10orf88	chromosome 10 open reading frame 88	ENSG00000119965	Q9H8K7
HGNC:26563	C10orf90	chromosome 10 open reading frame 90	ENSG00000154493	Q96M02
HGNC:31428	C10orf99	chromosome 10 open reading frame 99	ENSG00000188373	Q6UWK7
HGNC:31447	C10orf113	chromosome 10 open reading frame 113	ENSG00000204683	Q5VZT2
HGNC:1163	C11orf1	chromosome 11 open reading frame 1	ENSG00000137720	Q9H5F2
HGNC:13231	C11orf21	chromosome 11 open reading frame 21	ENSG00000110665	Q9P2W6
HGNC:1174	C11orf24	chromosome 11 open reading frame 24	ENSG00000171067	Q96F05
HGNC:28541	C11orf42	chromosome 11 open reading frame 42	ENSG00000180878	Q8N5U0
HGNC:28584	C11orf45	chromosome 11 open reading frame 45	ENSG00000174370	Q8TAV5
HGNC:28720	C11orf49	chromosome 11 open reading frame 49	ENSG00000149179	Q9H6J7
HGNC:30531	C11orf52	chromosome 11 open reading frame 52	ENSG00000149300	Q96A22
HGNC:30527	C11orf53	chromosome 11 open reading frame 53	ENSG00000150750	Q8IXP5
HGNC:30204	C11orf54	chromosome 11 open reading frame 54	ENSG00000182919	Q9H0W9
HGNC:16990	C11orf58	chromosome 11 open reading frame 58	ENSG00000110696	O00193
HGNC:28801	C11orf68	chromosome 11 open reading frame 68	ENSG00000175573	Q9H3H3
HGNC:25142	C11orf74	chromosome 11 open reading frame 74	ENSG00000166352	Q86VG3
HGNC:26197	C11orf80	chromosome 11 open reading frame 80	ENSG00000173715	Q8N6T0
HGNC:34442	C11orf86	chromosome 11 open reading frame 86	ENSG00000173237	A6NJI1
HGNC:33788	C11orf87	chromosome 11 open reading frame 87	ENSG00000185742	Q6NUJ2
HGNC:34444	C11orf91	chromosome 11 open reading frame 91	ENSG00000205177	Q3C1V1
HGNC:38675	C11orf96	chromosome 11 open reading frame 96	ENSG00000187479	Q7Z7L8
HGNC:1184	C12orf4	chromosome 12 open reading frame 4	ENSG00000047621	Q9NQ89
HGNC:17590	C12orf10	chromosome 12 open reading frame 10	ENSG00000139637	Q9HB07
HGNC:25322	C12orf29	chromosome 12 open reading frame 29	ENSG00000133641	Q8N999
HGNC:26846	C12orf40	chromosome 12 open reading frame 40	ENSG00000180116	Q86WS4
HGNC:25719	C12orf43	chromosome 12 open reading frame 43	ENSG00000157895	Q96C57
HGNC:28628	C12orf45	chromosome 12 open reading frame 45	ENSG00000151131	Q8N5I9
HGNC:26128	C12orf49	chromosome 12 open reading frame 49	ENSG00000111412	Q9H741
HGNC:28553	C12orf54	chromosome 12 open reading frame 54	ENSG00000177627	Q6X4T0
HGNC:26967	C12orf56	chromosome 12 open reading frame 56	ENSG00000185306	Q8IXR9
HGNC:29521	C12orf57	chromosome 12 open reading frame 57	ENSG00000111678	Q99622
HGNC:28726	C12orf60	chromosome 12 open reading frame 60	ENSG00000182993	Q5U649
HGNC:26784	C12orf65	chromosome 12 open reading frame 65	ENSG00000130921	Q9H3J6
HGNC:26517	C12orf66	chromosome 12 open reading frame 66	ENSG00000174206	Q96MD2
HGNC:34452	C12orf71	chromosome 12 open reading frame 71	ENSG00000214700	A8MTZ7
HGNC:34450	C12orf73	chromosome 12 open reading frame 73	ENSG00000204954	Q69YU5
HGNC:35164	C12orf75	chromosome 12 open reading frame 75	ENSG00000235162	Q8TAD7
HGNC:33790	C12orf76	chromosome 12 open reading frame 76	ENSG00000174456	Q8N812
HGNC:19849	C14orf39	chromosome 14 open reading frame 39	ENSG00000179008	Q8N1H7
HGNC:20162	C14orf93	chromosome 14 open reading frame 93	ENSG00000100802	Q9H972
HGNC:20270	C14orf119	chromosome 14 open reading frame 119	ENSG00000179933	Q9NWQ9
HGNC:26375	C14orf177	chromosome 14 open reading frame 177	ENSG00000176605	Q52M58
HGNC:26385	C14orf178	chromosome 14 open reading frame 178	ENSG00000197734	Q8N769
HGNC:24497	C15orf39	chromosome 15 open reading frame 39	ENSG00000167173	Q6ZRI6
HGNC:28443	C15orf40	chromosome 15 open reading frame 40	ENSG00000169609	Q8WUR7
HGNC:26929	C15orf41	chromosome 15 open reading frame 41	ENSG00000186073	Q9Y2V0
HGNC:29898	C15orf48	chromosome 15 open reading frame 48	ENSG00000166920	Q9C002
HGNC:33796	C15orf53	chromosome 15 open reading frame 53	ENSG00000175779	Q8NAA6
HGNC:34489	C15orf62	chromosome 15 open reading frame 62	ENSG00000188277	A8K5M9
HGNC:44654	C15orf65	chromosome 15 open reading frame 65	ENSG00000261652	H3BRN8
HGNC:26525	C16orf46	chromosome 16 open reading frame 46	ENSG00000166455	Q6P387
HGNC:26649	C16orf54	chromosome 16 open reading frame 54	ENSG00000185905	Q6UWD8
HGNC:25848	C16orf58	chromosome 16 open reading frame 58	ENSG00000140688	Q96GQ5
HGNC:29564	C16orf70	chromosome 16 open reading frame 70	ENSG00000125149	Q9BSU1
HGNC:25081	C16orf71	chromosome 16 open reading frame 71	ENSG00000166246	Q8IYS4
HGNC:30103	C16orf72	chromosome 16 open reading frame 72	ENSG00000182831	Q14CZ0
HGNC:23362	C16orf74	chromosome 16 open reading frame 74	ENSG00000154102	Q96GX8
HGNC:33755	C16orf86	chromosome 16 open reading frame 86	ENSG00000159761	Q6ZW13
HGNC:33754	C16orf87	chromosome 16 open reading frame 87	ENSG00000155330	Q6PH81
HGNC:28687	C16orf89	chromosome 16 open reading frame 89	ENSG00000153446	Q6UX73
HGNC:40033	C16orf95	chromosome 16 open reading frame 95	ENSG00000260456	Q9H693
HGNC:40031	C16orf96	chromosome 16 open reading frame 96	ENSG00000205832	A6NNT2
HGNC:28737	C17orf49	chromosome 17 open reading frame 49	ENSG00000258315	Q8IXM2
HGNC:27904	C17orf51	chromosome 17 open reading frame 51	ENSG00000212719	A8MQB3
HGNC:28460	C17orf53	chromosome 17 open reading frame 53	ENSG00000125319	Q8N3J3
HGNC:27568	C17orf58	chromosome 17 open reading frame 58	ENSG00000186665	Q2M2W7
HGNC:26990	C17orf64	chromosome 17 open reading frame 64	ENSG00000141371	Q86WR6
HGNC:27900	C17orf67	chromosome 17 open reading frame 67	ENSG00000214226	Q0P5P2
HGNC:30173	C17orf75	chromosome 17 open reading frame 75	ENSG00000108666	Q9HAS0
HGNC:29601	C17orf80	chromosome 17 open reading frame 80	ENSG00000141219	Q9BSJ5
HGNC:33800	C17orf97	chromosome 17 open reading frame 97	ENSG00000187624	Q6ZQX7
HGNC:34492	C17orf98	chromosome 17 open reading frame 98	ENSG00000275489	A8MV24
HGNC:34490	C17orf99	chromosome 17 open reading frame 99	ENSG00000187997	Q6UX52
HGNC:37238	C17orf107	chromosome 17 open reading frame 107	ENSG00000205710	Q6ZR85
HGNC:28802	C18orf21	chromosome 18 open reading frame 21	ENSG00000141428	Q32NC0
HGNC:28172	C18orf25	chromosome 18 open reading frame 25	ENSG00000152242	Q96B23
HGNC:31690	C18orf32	chromosome 18 open reading frame 32	ENSG00000177576	Q8TCD1
HGNC:25443	C19orf12	chromosome 19 open reading frame 12	ENSG00000131943	Q9NSK7
HGNC:28642	C19orf18	chromosome 19 open reading frame 18	ENSG00000177025	Q8NEA5
HGNC:26073	C19orf24	chromosome 19 open reading frame 24	ENSG00000228300	Q9BVV8
HGNC:26711	C19orf25	chromosome 19 open reading frame 25	ENSG00000119559	Q9UFG5
HGNC:16668	C19orf33	chromosome 19 open reading frame 33	ENSG00000167644	Q9GZP8
HGNC:26141	C19orf44	chromosome 19 open reading frame 44	ENSG00000105072	Q9H6X5
HGNC:26723	C19orf47	chromosome 19 open reading frame 47	ENSG00000160392	Q8N9M1
HGNC:29667	C19orf48	chromosome 19 open reading frame 48	ENSG00000167747	Q6RUI8
HGNC:24991	C19orf53	chromosome 19 open reading frame 53	ENSG00000104979	Q9UNZ5
HGNC:24758	C19orf54	chromosome 19 open reading frame 54	ENSG00000188493	Q5BKX5
HGNC:28153	C19orf57	chromosome 19 open reading frame 57	ENSG00000132016	Q0VDD7
HGNC:25649	C19orf66	chromosome 19 open reading frame 66	ENSG00000130813	Q9NUL5
HGNC:34496	C19orf71	chromosome 19 open reading frame 71	ENSG00000183397	A6NCJ1
HGNC:25534	C19orf73	chromosome 19 open reading frame 73	ENSG00000221916	Q9NVV2
HGNC:40041	C19orf81	chromosome 19 open reading frame 81	ENSG00000235034	C9J6K1
HGNC:27112	C19orf84	chromosome 19 open reading frame 84	ENSG00000262874	I3L1E1
HGNC:15873	C20orf27	chromosome 20 open reading frame 27	ENSG00000101220	Q9GZN8
HGNC:16216	C20orf85	chromosome 20 open reading frame 85	ENSG00000124237	Q9H1P6
HGNC:16227	C20orf96	chromosome 20 open reading frame 96	ENSG00000196476	Q9NUD7
HGNC:16137	C20orf144	chromosome 20 open reading frame 144	ENSG00000149609	Q9BQM9
HGNC:17721	C20orf194	chromosome 20 open reading frame 194	ENSG00000088854	Q5TEA3
HGNC:37254	C20orf202	chromosome 20 open reading frame 202	ENSG00000215595	A1L168
HGNC:1300	C21orf58	chromosome 21 open reading frame 58	ENSG00000160298	P58505
HGNC:1305	C21orf62	chromosome 21 open reading frame 62	ENSG00000205929	Q9NYP8
HGNC:16459	C21orf91	chromosome 21 open reading frame 91	ENSG00000154642	Q9NYK6
HGNC:15558	C22orf15	chromosome 22 open reading frame 15	ENSG00000169314	Q8WYQ4
HGNC:26931	C22orf31	chromosome 22 open reading frame 31	ENSG00000100249	O95567
HGNC:27160	C22orf42	chromosome 22 open reading frame 42	ENSG00000205856	Q6IC83
HGNC:26294	C22orf46	chromosome 22 open reading frame 46	ENSG00000184208	C9J442
HGNC:1368	CA1	carbonic anhydrase 1	ENSG00000133742	P00915
HGNC:1373	CA2	carbonic anhydrase 2	ENSG00000104267	P00918
HGNC:1374	CA3	carbonic anhydrase 3	ENSG00000164879	P07451
HGNC:1375	CA4	carbonic anhydrase 4	ENSG00000167434	P22748
HGNC:1378	CA5B	carbonic anhydrase 5B	ENSG00000169239	Q9Y2D0
HGNC:1380	CA6	carbonic anhydrase 6	ENSG00000131686	P23280
HGNC:1381	CA7	carbonic anhydrase 7	ENSG00000168748	P43166
HGNC:1382	CA8	carbonic anhydrase 8	ENSG00000178538	P35219
HGNC:1383	CA9	carbonic anhydrase 9	ENSG00000107159	Q16790
HGNC:1369	CA10	carbonic anhydrase 10	ENSG00000154975	Q9NS85
HGNC:1371	CA12	carbonic anhydrase 12	ENSG00000074410	O43570
HGNC:14914	CA13	carbonic anhydrase 13	ENSG00000185015	Q8N1Q1
HGNC:1372	CA14	carbonic anhydrase 14	ENSG00000118298	Q9ULX7
HGNC:25834	CAAP1	caspase activity and apoptosis inhibitor 1	ENSG00000120159	Q9H8G2
HGNC:20292	CAB39	calcium binding protein 39	ENSG00000135932	Q9Y376
HGNC:20290	CAB39L	calcium binding protein 39 like	ENSG00000102547	Q9H9S4
HGNC:28678	CABCOCO1	ciliary associated calcium binding coiled-coil 1	ENSG00000183346	Q8IVU9
HGNC:24187	CABIN1	calcineurin binding protein 1	ENSG00000099991	Q9Y6J0
HGNC:1384	CABP1	calcium binding protein 1	ENSG00000157782	Q9NZU7
HGNC:1386	CABP4	calcium binding protein 4	ENSG00000175544	P57796
HGNC:20834	CABP7	calcium binding protein 7	ENSG00000100314	Q86V35
HGNC:30710	CABS1	calcium binding protein, spermatid associated 1	ENSG00000145309	Q96KC9
HGNC:15569	CABYR	calcium binding tyrosine phosphorylation regulated	ENSG00000154040	O75952
HGNC:29314	CACHD1	cache domain containing 1	ENSG00000158966	Q5VU97
HGNC:1388	CACNA1A	calcium voltage-gated channel subunit alpha1 A	ENSG00000141837	O00555
HGNC:1389	CACNA1B	calcium voltage-gated channel subunit alpha1 B	ENSG00000148408	Q00975
HGNC:1390	CACNA1C	calcium voltage-gated channel subunit alpha1 C	ENSG00000151067	Q13936
HGNC:1391	CACNA1D	calcium voltage-gated channel subunit alpha1 D	ENSG00000157388	Q01668
HGNC:1394	CACNA1G	calcium voltage-gated channel subunit alpha1 G	ENSG00000006283	O43497
HGNC:1395	CACNA1H	calcium voltage-gated channel subunit alpha1 H	ENSG00000196557	O95180
HGNC:1397	CACNA1S	calcium voltage-gated channel subunit alpha1 S	ENSG00000081248	Q13698
HGNC:1399	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	ENSG00000153956	P54289
HGNC:1400	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	ENSG00000007402	Q9NY47
HGNC:20202	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	ENSG00000151062	Q7Z3S7
HGNC:1401	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	ENSG00000067191	Q02641
HGNC:1402	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	ENSG00000165995	Q08289
HGNC:1404	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4	ENSG00000182389	O00305
HGNC:1407	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	ENSG00000006116	O60359
HGNC:1408	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	ENSG00000075461	Q9UBN1
HGNC:1409	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5	ENSG00000075429	Q9UF02
HGNC:13628	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	ENSG00000142408	Q8WXS5
HGNC:29938	CACTIN	cactin, spliceosome C complex subunit	ENSG00000105298	Q8WUQ7
HGNC:30423	CACYBP	calcyclin binding protein	ENSG00000116161	Q9HB71
HGNC:1424	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	ENSG00000084774	P27708
HGNC:5951	CADM1	cell adhesion molecule 1	ENSG00000182985	Q9BY67
HGNC:29849	CADM2	cell adhesion molecule 2	ENSG00000175161	Q8N3J6
HGNC:17601	CADM3	cell adhesion molecule 3	ENSG00000162706	Q8N126
HGNC:30825	CADM4	cell adhesion molecule 4	ENSG00000105767	Q8NFZ8
HGNC:1426	CADPS	calcium dependent secretion activator	ENSG00000163618	Q9ULU8
HGNC:21622	CAGE1	cancer antigen 1	ENSG00000164304	Q8TC20
HGNC:1434	CALB1	calbindin 1	ENSG00000104327	P05937
HGNC:1435	CALB2	calbindin 2	ENSG00000172137	P22676
HGNC:29306	CALCOCO1	calcium binding and coiled-coil domain 1	ENSG00000012822	Q9P1Z2
HGNC:29912	CALCOCO2	calcium binding and coiled-coil domain 2	ENSG00000136436	Q13137
HGNC:1440	CALCR	calcitonin receptor	ENSG00000004948	P30988
HGNC:16709	CALCRL	calcitonin receptor like receptor	ENSG00000064989	Q16602
HGNC:1441	CALD1	caldesmon 1	ENSG00000122786	Q05682
HGNC:23494	CALHM1	calcium homeostasis modulator 1	ENSG00000185933	Q8IU99
HGNC:23493	CALHM2	calcium homeostasis modulator family member 2	ENSG00000138172	Q9HA72
HGNC:23458	CALHM3	calcium homeostasis modulator 3	ENSG00000183128	Q86XJ0
HGNC:21568	CALHM5	calcium homeostasis modulator family member 5	ENSG00000178033	Q8N5C1
HGNC:1442	CALM1	calmodulin 1	ENSG00000198668	P0DP23
HGNC:1445	CALM2	calmodulin 2	ENSG00000143933	P0DP24
HGNC:1449	CALM3	calmodulin 3	ENSG00000160014	P0DP25
HGNC:1452	CALML3	calmodulin like 3	ENSG00000178363	P27482
HGNC:18445	CALML4	calmodulin like 4	ENSG00000129007	Q96GE6
HGNC:18180	CALML5	calmodulin like 5	ENSG00000178372	Q9NZT1
HGNC:13248	CALN1	calneuron 1	ENSG00000183166	Q9BXU9
HGNC:1455	CALR	calreticulin	ENSG00000179218	P27797
HGNC:20407	CALR3	calreticulin 3	ENSG00000269058	Q96L12
HGNC:1458	CALU	calumenin	ENSG00000128595	O43852
HGNC:17938	CALY	calcyon neuron specific vesicular protein	ENSG00000130643	Q9NYX4
HGNC:1459	CAMK1	calcium/calmodulin dependent protein kinase I	ENSG00000134072	Q14012
HGNC:19341	CAMK1D	calcium/calmodulin dependent protein kinase ID	ENSG00000183049	Q8IU85
HGNC:1460	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	ENSG00000070808	Q9UQM7
HGNC:1461	CAMK2B	calcium/calmodulin dependent protein kinase II beta	ENSG00000058404	Q13554
HGNC:1462	CAMK2D	calcium/calmodulin dependent protein kinase II delta	ENSG00000145349	Q13557
HGNC:1463	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	ENSG00000148660	Q13555
HGNC:1464	CAMK4	calcium/calmodulin dependent protein kinase IV	ENSG00000152495	Q16566
HGNC:1469	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	ENSG00000004660	Q8N5S9
HGNC:1470	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2	ENSG00000110931	Q96RR4
HGNC:28788	CAMKV	CaM kinase like vesicle associated	ENSG00000164076	Q8NCB2
HGNC:1471	CAMLG	calcium modulating ligand	ENSG00000164615	P49069
HGNC:1472	CAMP	cathelicidin antimicrobial peptide	ENSG00000164047	P49913
HGNC:19946	CAMSAP1	calmodulin regulated spectrin associated protein 1	ENSG00000130559	Q5T5Y3
HGNC:29188	CAMSAP2	calmodulin regulated spectrin associated protein family member 2	ENSG00000118200	Q08AD1
HGNC:29307	CAMSAP3	calmodulin regulated spectrin associated protein family member 3	ENSG00000076826	Q9P1Y5
HGNC:18806	CAMTA1	calmodulin binding transcription activator 1	ENSG00000171735	Q9Y6Y1
HGNC:30688	CAND1	cullin associated and neddylation dissociated 1	ENSG00000111530	Q86VP6
HGNC:30689	CAND2	cullin associated and neddylation dissociated 2 (putative)	ENSG00000144712	O75155
HGNC:19721	CANT1	calcium activated nucleotidase 1	ENSG00000171302	Q8WVQ1
HGNC:1473	CANX	calnexin	ENSG00000127022	P27824
HGNC:20040	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	ENSG00000131236	Q01518
HGNC:20039	CAP2	cyclase associated actin cytoskeleton regulatory protein 2	ENSG00000112186	P40123
HGNC:1474	CAPG	capping actin protein, gelsolin like	ENSG00000042493	P40121
HGNC:1476	CAPN1	calpain 1	ENSG00000014216	P07384
HGNC:1479	CAPN2	calpain 2	ENSG00000162909	P17655
HGNC:1480	CAPN3	calpain 3	ENSG00000092529	P20807
HGNC:1482	CAPN5	calpain 5	ENSG00000149260	O15484
HGNC:1484	CAPN7	calpain 7	ENSG00000131375	Q9Y6W3
HGNC:1486	CAPN9	calpain 9	ENSG00000135773	O14815
HGNC:1477	CAPN10	calpain 10	ENSG00000142330	Q9HC96
HGNC:1478	CAPN11	calpain 11	ENSG00000137225	Q9UMQ6
HGNC:13249	CAPN12	calpain 12	ENSG00000182472	Q6ZSI9
HGNC:16663	CAPN13	calpain 13	ENSG00000162949	Q6MZZ7
HGNC:11182	CAPN15	calpain 15	ENSG00000103326	O75808
HGNC:1481	CAPNS1	calpain small subunit 1	ENSG00000126247	P04632
HGNC:6743	CAPRIN1	cell cycle associated protein 1	ENSG00000135387	Q14444
HGNC:21259	CAPRIN2	caprin family member 2	ENSG00000110888	Q6IMN6
HGNC:1487	CAPS	calcyphosine	ENSG00000105519	Q13938
HGNC:16471	CAPS2	calcyphosine 2	ENSG00000180881	Q9BXY5
HGNC:28375	CAPSL	calcyphosine like	ENSG00000152611	Q8WWF8
HGNC:1488	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	ENSG00000116489	P52907
HGNC:1490	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2	ENSG00000198898	P47755
HGNC:24205	CAPZA3	capping actin protein of muscle Z-line subunit alpha 3	ENSG00000177938	Q96KX2
HGNC:1491	CAPZB	capping actin protein of muscle Z-line subunit beta	ENSG00000077549	P47756
HGNC:16394	CARD6	caspase recruitment domain family member 6	ENSG00000132357	Q9BX69
HGNC:17057	CARD8	caspase recruitment domain family member 8	ENSG00000105483	Q9Y2G2
HGNC:16391	CARD9	caspase recruitment domain family member 9	ENSG00000187796	Q9H257
HGNC:16422	CARD10	caspase recruitment domain family member 10	ENSG00000100065	Q9BWT7
HGNC:16393	CARD11	caspase recruitment domain family member 11	ENSG00000198286	Q9BXL7
HGNC:33701	CARD16	caspase recruitment domain family member 16	ENSG00000204397	Q5EG05
HGNC:28861	CARD18	caspase recruitment domain family member 18	ENSG00000255501	P57730
HGNC:28148	CARD19	caspase recruitment domain family member 19	ENSG00000165233	Q96LW7
HGNC:14435	CARF	calcium responsive transcription factor	ENSG00000138380	Q8N187
HGNC:17150	CARHSP1	calcium regulated heat stable protein 1	ENSG00000153048	Q9Y2V2
HGNC:23393	CARM1	coactivator associated arginine methyltransferase 1	ENSG00000142453	Q86X55
HGNC:21581	CARMIL1	capping protein regulator and myosin 1 linker 1	ENSG00000079691	Q5VZK9
HGNC:27089	CARMIL2	capping protein regulator and myosin 1 linker 2	ENSG00000159753	Q6F5E8
HGNC:20272	CARMIL3	capping protein regulator and myosin 1 linker 3	ENSG00000186648	Q8ND23
HGNC:23435	CARNMT1	carnosine N-methyltransferase 1	ENSG00000156017	Q8N4J0
HGNC:29268	CARNS1	carnosine synthase 1	ENSG00000172508	A5YM72
HGNC:1493	CARS	cysteinyl-tRNA synthetase	ENSG00000110619	P49589
HGNC:25695	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	ENSG00000134905	Q9HA77
HGNC:24323	CARTPT	CART prepropeptide	ENSG00000164326	Q16568
HGNC:29599	CASC1	cancer susceptibility 1	ENSG00000118307	Q6TDU7
HGNC:17040	CASC3	CASC3 exon junction complex subunit	ENSG00000108349	O15234
HGNC:24892	CASC4	cancer susceptibility 4	ENSG00000166734	Q6P4E1
HGNC:31448	CASC10	cancer susceptibility 10	ENSG00000204682	Q5T4H9
HGNC:16014	CASD1	CAS1 domain containing 1	ENSG00000127995	Q96PB1
HGNC:1497	CASK	calcium/calmodulin dependent serine protein kinase	ENSG00000147044	O14936
HGNC:20879	CASKIN1	CASK interacting protein 1	ENSG00000167971	Q8WXD9
HGNC:1499	CASP1	caspase 1	ENSG00000137752	P29466
HGNC:1503	CASP2	caspase 2	ENSG00000106144	P42575
HGNC:1504	CASP3	caspase 3	ENSG00000164305	P42574
HGNC:1505	CASP4	caspase 4	ENSG00000196954	P49662
HGNC:1506	CASP5	caspase 5	ENSG00000137757	P51878
HGNC:1507	CASP6	caspase 6	ENSG00000138794	P55212
HGNC:1508	CASP7	caspase 7	ENSG00000165806	P55210
HGNC:1509	CASP8	caspase 8	ENSG00000064012	Q14790
HGNC:1511	CASP9	caspase 9	ENSG00000132906	P55211
HGNC:1500	CASP10	caspase 10	ENSG00000003400	Q92851
HGNC:1502	CASP14	caspase 14	ENSG00000105141	P31944
HGNC:1512	CASQ1	calsequestrin 1	ENSG00000143318	P31415
HGNC:1513	CASQ2	calsequestrin 2	ENSG00000118729	O14958
HGNC:1514	CASR	calcium sensing receptor	ENSG00000036828	P41180
HGNC:15878	CASS4	Cas scaffold protein family member 4	ENSG00000087589	Q9NQ75
HGNC:1515	CAST	calpastatin	ENSG00000153113	P20810
HGNC:37073	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2	ENSG00000274070	A6NHX0
HGNC:29954	CASTOR3	CASTOR family member 3	ENSG00000239521	Q8NAP1
HGNC:26002	CASZ1	castor zinc finger 1	ENSG00000130940	Q86V15
HGNC:1516	CAT	catalase	ENSG00000121691	P04040
HGNC:25062	CATIP	ciliogenesis associated TTC17 interacting protein	ENSG00000158428	Q7Z7H3
HGNC:23220	CATSPER4	cation channel sperm associated 4	ENSG00000188782	Q7RTX7
HGNC:20500	CATSPERB	cation channel sperm associated auxiliary subunit beta	ENSG00000133962	Q9H7T0
HGNC:28598	CATSPERD	cation channel sperm associated auxiliary subunit delta	ENSG00000174898	Q86XM0
HGNC:1527	CAV1	caveolin 1	ENSG00000105974	Q03135
HGNC:1528	CAV2	caveolin 2	ENSG00000105971	P51636
HGNC:1529	CAV3	caveolin 3	ENSG00000182533	P56539
HGNC:9688	CAVIN1	caveolae associated protein 1	ENSG00000177469	Q6NZI2
